Course Code,Course Name,Department,Credit,Total Credits,Faculty,Approved Time Slot
QT 211,Basic Quantum Technology Laboratory,Instrumentation and Applied Physics_QT,1:2,3.0,Vibhor Singh,ANY TWO DAYS: FROM 3:30-5P
RD 214,Translational Oncology and Clinical Trial Design,"Molecular Reproduction, Dev and Genetics",2:0,2.0,Maya Raghunandan,"Tue, Thu 11:30-13:00"
SL 201,Seminar in Mobility Systems,Transportation and Urban Planning,1:0,1.0,Abdul Rawoof Pinjari,Fri 11:30-13:00
SL 221,Introduction to Multi-Modal Mobility Systems,Transportation and Urban Planning,3:1,4.0,Vijay Gopal Kovvali,"Tue, Thu 10:00-11:30"
SL 222,Transportation Demand and Supply Modeling,Transportation and Urban Planning,3:1,4.0,Abdul Rawoof Pinjari,"Tue, Thu 11:30-13:00"
SL 225,Logistics and Freight Modeling,Transportation and Urban Planning,3:1,4.0,Tarun Rambha,"Tue, Thu 08:30-10:00"
SL 299A,Dissertation Project A,Transportation and Urban Planning,0:7,7.0,Tarun Rambha,"Mon, Wed, Fri 08:00-09:00"
SS 201,Thermodynamics and Statistical Mechanics,Solid State and Structural Chemistry,3:0,3.0,P Govardhan Reddy,"Tue, Thu 08:30-10:00"
SS 202,Introductory Quantum Chemistry,Solid State and Structural Chemistry,3:0,3.0,Awadhesh Narayan,"Tue, Thu 14:00-15:30"
SS 209,Electrochemical Systems,Solid State and Structural Chemistry,3:0,3.0,Naga Phani B Aetukuri,"Tue, Thu 15:30-17:00"
SS 307,Magnetic Resonance and Quantum Technologies,Solid State and Structural Chemistry,3:0,3.0,Sheetal Kumar Jain,"Tue, Thu 11:30-13:00"
ST 213,Turbo machines in Renewable Energy,Sustainable Technologies,3:0,3.0,Punit Singh,"Tue, Thu 14:00-15:30"
ST 214,Mathematical Analysis of Experimental Data,Sustainable Technologies,3:0,3.0,Lakshminarayana Rao M P,"Tue, Thu 08:30-10:00"
ST 217,"Field hydrology, river engineering and basin studies",Sustainable Technologies,3:1,4.0,Punit Singh,"Tue, Thu 08:30-10:00"
ST 221,Concrete Technology: fundamentals and sustainable practices,Sustainable Technologies,3:0,3.0,Souradeep Gupta,"Tue, Thu 11:30-13:00"
ST 224,Renewable energy,Sustainable Technologies,3:0,3.0,Lakshminarayana Rao M P,"Tue, Thu 11:30-13:00"
ST 225,Sustainable Materials,Sustainable Technologies,3:0,3.0,Navneet Kumar Gupta,"Mon, Fri 09:00-10:30"
ST 226,Sustainable Water Management,Sustainable Technologies,3:0,3.0,Yagnaseni Roy & Sreenivasan Ramaswami & Punit Singh,"Tue, Thu 14:00-15:30 & Tue, Thu 15:30-17:00"
UB 201L,Introductory Biology III,Bachelor of Science,0:1,1.0,Tanweer Hussain & Arnab Barik,"Tue, Thu 14:00-15:30 & Tue, Thu 15:30-17:00"
UB 201T,Introductory Biology - III,Bachelor of Science,2:0,2.0,Tanweer Hussain,"Tue, Thu 14:00-15:30"
UB 301L,Experiments in Microbiology,Bachelor of Science,0:1,1.0,Dipshikha Chakravortty,"Mon, Wed, Fri 16:00-17:00"
UB 307L,Experiments in Ecology and Evolution,Bachelor of Science,0:2,2.0,Anubhab Khan,"Mon, Wed, Fri 12:00-13:00"
UBL 101L,Introductory Biology I (Lab),Bachelor of Science,0:1,1.0,Jayanta Chatterjee,"Mon, Wed, Fri 14:00-15:00"
UBL 101T,Introductory Biology I,Bachelor of Science,3:0,3.0,Jayanta Chatterjee,"Mon, Wed, Fri 11:00-12:00"
UBL 201L,Introductory Biology III (Lab),Bachelor of Science,0:1,1.0,Tanweer Hussain & Ashesh Kumar Dhawale,"Tue, Thu 15:30-17:00"
UBL 201T,Introductory Biology III,Bachelor of Science,3:0,3.0,Tanweer Hussain & Ashesh Kumar Dhawale,"Tue, Thu 14:00-15:30"
UC 301,Organic & Inorganic Chemistry Laboratory,Bachelor of Science,0:1,1.0,Rajamalli P,"Mon, Wed, Fri 10:00-11:00"
UC 402,"Molecular Spectroscopy,Dynamics and Photochemistry",Bachelor of Science,3:0,3.0,Soumen Ghosh,"Tue, Thu 11:30-13:00"
UCY 101L,Introductory Chemistry I (Lab),Bachelor of Science,0:1,1.0,Susanta Hazra & Mrinmoy De & Veerabhadrarao Kaliginedi,"Mon, Wed, Fri 12:00-13:00 & Mon, Tue, Wed, Thu, Fri 14:00-17:30"
UCY 101T,Introductory Chemistry I,Bachelor of Science,3:0,3.0,Anshu Pandey,"Tue, Wed, Thu 09:50-10:00"
UCY 201L,Introductory Chemistry III Laboratory,Bachelor of Science,0:1,1.0,Subinoy Rana,"Mon, Tue, Thu, Fri 14:00-17:30"
UCY 201T,Introductory Chemistry III,Bachelor of Science,3:0,3.0,Durga Prasada Rao Hari & Vignesh Palani,"Mon, Wed, Fri 10:00-11:00"
UCY 301, ORGANIC AND INORGANIC CHEMISTRY LABORATORY,Bachelor of Science,0:3,3.0,Sharvan Kumar,"Mon, Tue, Wed 14:00-17:00"
UEES 301L,Introduction to Earth System Laboratory,Bachelor of Science,0:1,1.0,Sambuddha Misra,Wed 16:00-16:50
UEES 301T,Introduction to Earth System,Bachelor of Science,2:0,2.0,Sambuddha Misra,"Tue, Thu 16:00-16:50"
UEES 313L,Lab: Experimental Methods In Environmental Engineering,Bachelor of Science,0:1,1.0,Yagnaseni Roy,"Mon, Wed, Fri 16:00-17:00"
UEES 313T,Experimental methods in Environmental Engineering,Bachelor of Science,2:0,2.0,Yagnaseni Roy,"Mon, Wed, Fri 11:00-12:00"
UENG 201,Introduction to Materials Science,Bachelor of Science,3:0,3.0,Suchandrima Das,"Mon, Fri 12:00-12:50 & Wed 15:00-15:50"
UES 314,DESIGN PRINCIPLES IN ENVIRONMENTAL ENGINEERING,Bachelor of Science,3:0,3.0,Lakshminarayana Rao M P,"Tue, Thu 10:00-11:30"
UI 301,In-semester Project,Bachelor of Science,0:1,1.0,Dipshikha Chakravortty,"Mon, Wed, Fri 15:00-16:00"
UM 501,Masters Project A,Bachelor of Science,0:6,6.0,Vamsi Pritham Pingali,"Mon, Wed, Fri 14:00-15:00"
UMA 101,Analysis and Linear Algebra I,Bachelor of Science,4:0,4.0,Shaunak Vilas Deo,"Tue, Thu 11:00-12:20"
UMA 201,Probability and Statistics,Bachelor of Science,4:0,4.0,Sanchayan Sen,"Tue, Thu 11:30-13:00"
UMT 301,Materials Kinetics,Bachelor of Science,3:0,3.0,Chandan Srivastava,"Mon, Wed, Fri 14:00-15:00"
UP 201L,Introductory Physics III (Lab),Bachelor of Science,0:1,1.0,Ganesan R,"Mon, Tue, Wed 14:00-17:00"
UP 211,Under Graduate General Physics Laboratory,Unknown Department,0:3,3.0,Tapajyoti Das Gupta,"Mon, Wed, Fri 14:00-15:00"
UPH 101L,Introductory Physics I (Lab),Bachelor of Science,0:1,1.0,Ramesh K & Animesh Kuley,"Mon, Tue, Wed, Thu, Fri 14:00-17:30"
UPH 101T,Introductory Physics I,Bachelor of Science,3:0,3.0,Tarun Deep Saini,"Tue, Thu 10:00-11:30"
UPH 201L,Introductory Physics III Laboratory,Bachelor of Science,0:1,1.0,Ganesan R,"Mon, Tue, Wed 14:00-17:00"
UPH 201T,Introductory Physics III,Bachelor of Science,3:0,3.0,Prerna Sharma,"Mon, Wed, Fri 11:00-12:00"
WR 201,Watershed Modeling,Water Research,2:1,3.0,Rajarshi Das Bhowmik,"Mon, Wed, Fri 14:00-15:00"
WR 203,Applied geochemical modeling and Water quality analysis,Water Research,2:1,3.0,Praveen Ramamurthy,"Tue, Thu 10:00-11:30"
