Course Code,Course Name,Department,Credit,Total Credits,Faculty,Approved Time Slot
E2 202o,Random Process,Electronics & Communication Engg. Stream,3:1,4.0,Srikanth Krishnan Iyer,"Tue, Thu 17:30-19:00"
E2 205,Error-Control Coding,Electrical Communication Engineering,3:0,3.0,Navin Kashyap,"Tue, Thu 11:30-13:00"
E2 207,Concentration Inequalities,Electrical Communication Engineering,3:0,3.0,Aditya Gopalan & Chandra R Murthy,"Tue, Thu 10:00-11:30"
E2 211,Digital Communication,Electrical Communication Engineering,3:0,3.0,Sundar Rajan B,"Tue, Thu 08:30-10:00"
E2 221,Communication Networks,Electrical Communication Engineering,3:0,3.0,Chandramani Kishore Singh & Parimal Parag,"Mon, Wed 09:00-10:30"
E2 237,Statistical Learning Theory,Electrical Communication Engineering,3:0,3.0,Parimal Parag,"Tue, Thu 15:30-17:00"
E2 240,Introduction to Machine Learning,Electronic Systems Engineering,3:0,3.0,Chandramani Kishore Singh,"Tue, Thu 09:00-10:30"
E2 252,Communication and Radar Systems Design,Electrical Communication Engineering,3:0,3.0,Chockalingam A & Nishant Mehrotra,"Mon, Wed, Fri 16:00-17:00"
E2 299o,MTech(Online) ECE Stream Project,Electronics & Communication Engg. Stream,0:28,28.0,Debdeep Sarkar,PROJECT: SATURDAY-SUNDAY
E3 220,Foundations of Nanoelectronic Devices,Electrical Communication Engineering,3:0,3.0,Akshay Kumar Mahadev Arabhavi,"Mon, Wed 10:00-11:30"
E3 229,Principles of Microelectronic Devices,Electronic Systems Engineering,3:0,3.0,Santanu Mahapatra,"Mon, Wed, Fri 11:00-12:00"
E3 245,Processor System Design,Electronic Systems Engineering,2:1,3.0,Kuruvilla Varghese,"Tue, Thu 10:00-11:30"
E3 257,Embedded System Design,Electronic Systems Engineering,2:1,3.0,Dagale Haresh Ramji,"Mon, Wed, Fri 10:00-11:00"
E3 258,Design for Internet of Things,Electronic Systems Engineering,2:1,3.0,Prabhakar T V,"Mon, Wed, Fri 09:00-10:00"
E3 277,Introduction to Integrated Circuit (IC) Design,Electrical Communication Engineering,2:1,3.0,Gaurab Banerjee,"Mon, Wed, Fri 10:00-11:00"
E4 231,Power System Dynamics and Control,Electrical Engineering,3:0,3.0,Gurunath Gurrala,"Tue, Thu 11:30-13:00"
E4 234,Advanced Power Systems Analysis,Electrical Engineering,3:0,3.0,Sarasij Das,"Mon, Wed, Fri 10:00-11:00"
E4 240,Robust Control Theory and Its Application,Electrical Engineering,3:0,3.0,Soham Chakraborty,"Tue, Thu 15:30-17:00"
E6 201,Power Electronics,Electrical Engineering,3:1,4.0,Vishnu Mahadeva Iyer,"Mon, Wed, Fri 09:00-10:00"
E6 223,PWM Converters and Applications,Electrical Engineering,3:0,3.0,Narayanan G,"Mon, Wed, Fri 12:00-13:00"
E6 224,Topics in Power Electronics and Distributed Generation,Electrical Engineering,3:0,3.0,Vinod John,"Tue, Thu 10:00-11:30"
E6 225,Advanced Power Electronics,Electrical Engineering,3:0,3.0,Kaushik Basu,"Mon, Wed, Fri 10:00-11:00"
E6 228,Grid Integration of Inverter-Based Energy Sources,Electrical Engineering,3:0,3.0,Samir Hazra,"Mon, Wed, Fri 11:00-12:00"
E6 240,Multilevel Inverters: Topology and Control,Electrical Engineering,3:0,3.0,Tapas Roy,"Tue, Thu 11:30-13:00"
E7 211,Photonics Integrated Circuits,Electrical Communication Engineering,3:0,3.0,Srinivas Talabattula,"Mon, Wed, Fri 11:00-12:00"
E7 225,Basics of Optics and Photonics,Electrical Communication Engineering,3:1,4.0,Varun Raghunathan & Balaswamy Velpula,"Tue, Thu 11:30-13:00"
E8 201,Electromagnetism,Electrical Engineering,3:0,3.0,Udaya Kumar,"Tue, Thu 10:00-11:30"
E8 205o,Antennas and Circuits for Emerging Communication a,Electronics & Communication Engg. Stream,3:1,4.0,Debdeep Sarkar,Sat 16:00-15:00
E8 304,Electromagnetic Metamaterials: Concepts and Applications,Electrical Communication Engineering,3:0,3.0,Debdeep Sarkar,"Tue, Thu 15:30-17:00"
E8 311,Advanced Topics in Electromagnetics,Electrical Communication Engineering,2:1,3.0,Vinoy K J,"Tue, Thu 10:00-11:30"
E9 201,Digital Signal Processing,Electrical Engineering,3:0,3.0,Prasanta Kumar Ghosh & Soma Biswas,"Tue, Thu 15:30-17:00"
E9 241,Digital Image Processing,Electrical Engineering,2:1,3.0,Bharath V & Soma Biswas,"Tue, Thu 10:00-11:30 & Mon, Wed, Fri 14:00-15:00"
E9 247,Learning for 3D Vision and Inverse Graphics,Electrical Communication Engineering,3:1,4.0,Rajiv Soundararajan,"Tue, Thu 10:00-11:30"
E9 333,Advanced Deep Representation Learning,Electrical Communication Engineering,3:1,4.0,Prathosh A P,"Mon, Wed 11:30-13:00"
EC 202,Ecology: Pattern and Process,Ecological Sciences,2:1,3.0,Umesh Srinivasan,"Tue, Thu 14:30-16:00"
EC 301,Animal Behaviour : Mechanisms and Evolution,Ecological Sciences,2:1,3.0,Rohini Balakrishnan & Kavita Isvaran,"Tue, Thu 11:30-13:00"
EC 305,Quantitative Ecology : Research Design and Inference,Ecological Sciences,2:1,3.0,Umesh Srinivasan,"Wed, Fri 11:00-12:30 & Fri 15:00-17:00"
EC 309A,Ecosystems and Global Change,Ecological Sciences,3:0,3.0,Sumanta Bagchi,"Tue, Thu 10:00-11:30"
ER 201,Renewable Energy Technologies,Energy Research,3:0,3.0,Pradip Dutta,"Mon, Wed, Fri 14:00-15:00"
ER 202,Thermodynamics of Energy Systems,Energy Research,3:0,3.0,Pramod Kumar,"Tue, Thu 10:00-11:30"
ER 208,Introduction to Micro Energy Harvesting,Energy Research,3:0,3.0,Farsa Ram,"Tue, Thu 15:30-17:00"
ER 210,Heat and Mass Transfer,Energy Research,3:0,3.0,Jaichander Swaminathan,"Mon, Wed, Fri 16:00-17:00"
EX 299A,"Project (MTech Electronics and Commun, Aug term)",Electrical Communication Engineering,0:8,8.0,Navin Kashyap,PROJECT
HE 215,Nuclear and Particle Physics,Physics,3:0,3.0,Sudhir Kumar Vempati,"Tue, Thu 11:30-13:00"
HE 314,Astroparticle Physics,High Energy Physics,3:0,3.0,Nirmal Raj,"Tue, Thu 10:00-11:30"
HE 386,Experimental High Energy Physics,High Energy Physics,3:0,3.0,Jyothsna Rani Komaragiri,"Tue, Thu 15:30-17:00"
HE 395,Quantum Field Theory I,High Energy Physics,3:0,3.0,Prasad Satish Hegde,"Tue, Thu 14:00-15:30"
HE 398,General Relativity,High Energy Physics,3:0,3.0,Gaurav Narain,"Tue, Thu 11:30-13:00"
IN 201,Analytical Instrumentation,Instrumentation and Applied Physics,3:0,3.0,Manukumara Manjappa,"Tue, Thu 11:30-13:00"
IN 203,Micro to Quantum Supercapacitor Devices,Instrumentation and Applied Physics,3:0,3.0,Abha Misra,"Tue, Thu 10:00-11:30"
IN 204,Basic Instrumentation Laboratory,Instrumentation and Applied Physics,0:3,3.0,Atanu Kumar Mohanty & Baladitya Suri & Jayanth G R,"Mon, Tue, Wed 15:00-17:30"
IN 205,Optical Instrumentation lab 1,Instrumentation and Applied Physics,0:3,3.0,Jaya Prakash & Manukumara Manjappa & Sai Siva Gorthi,"Mon, Wed, Fri 14:00-17:00"
IN 206,Signals and Systems for Digital Health,Instrumentation and Applied Physics,2:1,3.0,Jaya Prakash,"Mon, Wed, Fri 09:00-10:00"
IN 221,Sensors and Transducers,Instrumentation and Applied Physics,3:0,3.0,Chandni U & Baladitya Suri & Manish Arora,"Mon, Wed, Fri 12:00-13:00"
IN 227,Control Systems Design,Instrumentation and Applied Physics,3:0,3.0,Jayanth G R,"Tue, Thu 08:30-10:00"
IN 232,Concepts in solid state physics,Instrumentation and Applied Physics,3:0,3.0,Tapajyoti Das Gupta & Chandni U,"Tue, Thu 10:00-11:30"
IN 277,Instrumentation Electronics Laboratory,Instrumentation and Applied Physics,2:1,3.0,Atanu Kumar Mohanty,"Tue, Thu 11:30-13:00"
IN 280,Optical Instrumentation,Instrumentation and Applied Physics,2:1,3.0,Sai Siva Gorthi,"Mon, Wed, Fri 14:00-15:00"
IN 299P,Project,Instrumentation and Applied Physics,0:5,5.0,Baladitya Suri,ALL DAYS
IP 203,Group Theory and Molecular Spectroscopy,Inorganic and Physical Chemistry,3:0,3.0,Anoop Thomas,"Mon, Wed, Fri 09:00-10:00"
IP 311,Bio and Medicinal Inorganic Chemistry,Inorganic and Physical Chemistry,3:0,3.0,Debasis Das,"Mon, Wed 14:30-16:00"
IP 312,Advanced Organometallic Chemistry,Inorganic and Physical Chemistry,3:0,3.0,Balaji R Jagirdar,"Mon, Wed, Fri 10:00-11:00"
LS 209,Laboratory course in Molecular Techniques,Life Sciences,0:2,2.0,Meetali Singh,"Mon, Tue, Wed, Thu 14:00-17:00"
MC 203,Essentials in Microbiology,Microbiology and Cell Biology,3:0,3.0,Amit Singh,"Mon, Wed, Fri 11:00-12:00"
MC 205,Pathogen - Host interactions and immune evasion mechanisms,Microbiology and Cell Biology,2:0,2.0,Balaji Kithiganahalli,"Thu, Fri 14:30-15:30"
MC 206,RNA Biology,Microbiology and Cell Biology,2:0,2.0,Purusharth Rajyaguru,"Mon, Wed 12:00-13:00"
MC 208,Principles of Genetic Engineering,Microbiology and Cell Biology,2:0,2.0,Naresh Loudya & Shashank Tripathi,"Tue, Thu 17:30-18:30"
MC 212,Advances in Cell Biology,Microbiology and Cell Biology,2:0,2.0,Sachin Kotak & Subba Rao Gangi Setty,"Wed, Fri 09:00-10:00"
MC 218,Advances in Molecular Biology,Microbiology and Cell Biology,2:0,2.0,Shovamayee Maharana,"Tue, Thu 10:00-11:30"
ME 201,Fluid Mechanics,Mechanical Engineering,3:0,3.0,Gaurav Tomar & Balachandra Suri & Ratnesh K Shukla,"Tue, Thu 11:30-13:00"
ME 242,Solid Mechanics,Mechanical Engineering,3:0,3.0,Chandrashekhar S Jog,"Mon, Wed, Fri 10:00-11:00"
ME 243,Continuum Mechanics,Mechanical Engineering,3:0,3.0,Chandrashekhar S Jog,"Tue, Thu 11:30-13:00"
ME 246,Introduction to Robotics,Mechanical Engineering,3:0,3.0,Jishnu Keshavan,"Tue, Thu 14:00-15:30"
ME 250,Structural Acoustics,Mechanical Engineering,3:0,3.0,Venkata R Sonti,"Tue, Thu 11:30-13:00"
ME 255,Principles of Tribology,Mechanical Engineering,3:0,3.0,Bobji M S,"Mon, Wed, Fri 12:00-13:00"
ME 259,Nonlinear Finite Element Methods,Mechanical Engineering,3:0,3.0,Narasimhan R,"Mon, Wed 11:30-13:00"
ME 260,"Structural Optimiztion:Size, Shape, and Topology",Mechanical Engineering,3:0,3.0,Ananthasuresh G K,"Tue, Thu 08:30-10:00"
ME 261,Engineering Mathematics,Mechanical Engineering,3:0,3.0,Venkata R Sonti & Shubhadeep Mandal & Akshay Joshi,"Tue, Thu 15:30-17:00"
ME 262,Wave Propagation in Solids,Mechanical Engineering,3:0,3.0,Debashish Das & Akshay Joshi,"Tue, Thu 14:00-15:30"
ME 263,Applied Finite Element Analysis,Mechanical Engineering,2:1,3.0,Ramsharan Rangarajan,"Mon, Wed, Fri 15:00-16:00"
ME 283,Two Phase Flows and Boiling Heat Transfer,Mechanical Engineering,3:0,3.0,Susmita Dash,"Tue, Thu 11:30-13:00"
ME 285,Turbomachine Theory,Mechanical Engineering,3:0,3.0,Raghuraman N Govardhan,"Mon, Wed, Fri 14:00-15:00"
ME 297,Departmental Seminar,Mechanical Engineering,1:0,1.0,Akshay Joshi,Fri 16:00-17:00
ME 299A,MTech Project A,Mechanical Engineering,0:9,9.0,Aloke Kumar,M/T/W/TH/FRI
ME 306,Analytical and Statistical Thermodynamics,Mechanical Engineering,3:0,3.0,Gaurav Tomar & Koushik Viswanathan,"Mon, Wed, Fri 12:00-13:00 & Mon, Wed, Fri 10:00-11:00"
MG 201,Managerial Economics,Management Studies,3:0,3.0,Sumirtha Gandhi,"Mon, Wed 09:00-10:30"
MG 212,Behavioral Science,Management Studies,2:1,3.0,Anjula Gurtoo,Wed 14:00-17:00
MG 219,Introductory Probability Theory,Management Studies,3:0,3.0,Mukhopadhyay C,"Tue, Thu 14:00-15:30"
MG 225,Decision Models,Management Studies,3:0,3.0,Parthasarathy Ramachandran,"Mon, Wed 09:00-10:30"
MG 229,Regression and Time Series Analysis,Management Studies,3:0,3.0,Mukhopadhyay C,"Tue, Thu 15:45-17:15"
MG 241,Marketing Management,Management Studies,3:0,3.0,Shashi Jain,"Tue, Thu 11:30-13:00"
MG 251,Finance and Accounts,Management Studies,3:0,3.0,Shashi Jain,"Tue, Thu 09:30-11:00"
MG 261,Operations Management,Management Studies,3:0,3.0,Shashi Jain,Fri 10:00-13:00
MG 265,Data Mining,Management Studies,3:0,3.0,Parthasarathy Ramachandran,"Tue, Thu 09:00-10:30"
MN 202,Digital Manufacturing,Product Design and Manufacturing,3:0,3.0,Dibakar Sen,"Tue, Thu 11:30-13:00"
MN 205,Makers’ Project,Product Design and Manufacturing,1:2,3.0,Vishal Singh,Thu 14:00-17:00
MN 207,"Intelligent Mobile Robots: Perception, Action and Control",Product Design and Manufacturing,2:1,3.0,Abhra Roy Chowdhury,"Mon, Wed, Fri 16:00-17:00"
MN 299,Dissertation Project,Product Design and Manufacturing,0:24,24.0,Vishal Singh,Thu 14:00-17:00
MR 309,Introduction to Supramolecular Chemistry,Materials Research Centre,3:0,3.0,Subinoy Rana,"Tue, Thu 11:30-13:00"
MR 310,Light emitting materials and devices,Materials Research Centre,3:0,3.0,Rajamalli P,"Tue, Thu 14:00-15:30"
MT 202,Thermodynamics and Kinetics,Materials Engineering,3:0,3.0,Sai Gautam Gopalakrishnan,"Mon, Wed, Fri 10:00-11:00"
MT 204,Structure and Properties of Materials,Materials Engineering,3:0,3.0,Karthikeyan Subramanian & Rajeev Ranjan,"Mon, Wed, Fri 09:00-10:00"
MT 206,Texture and Grain Boundary Engineering,Materials Engineering,3:0,3.0,Satyam Suwas,"Tue, Thu 17:00-18:30"
MT 211,"Magnetism, Magnetic Materials, and Devices",Materials Engineering,3:0,3.0,Bhagwati Prasad,"Tue, Thu 10:00-11:30"
MT 217,Computational  Mathematics for Materials Engineers,Materials Engineering,3:0,3.0,Pikee Priya & Abhik N Choudhury,"Tue, Thu 11:30-13:00"
